SKU,COST,CURRENCY
750218736832-AE,3.98,USD
750218736832-OAG,3.98,USD
750218736832-AE,3.98,USD
883049283258-AE,5.5,USD
883049283258-OAG,5.5,USD
883049283258-AE,5.5,USD
192233023977-AE,29.99,USD
192233023977-OAG,29.99,USD
192233023977-AE,29.99,USD
772223508082-AE,8.49,USD
772223508082-OAG,8.49,USD
772223508082-AE,8.49,USD
710824105071-AE,7.99,USD
710824105071-OAG,7.99,USD
710824105071-AE,7.99,USD
011644896683-AE,799.95,USD
011644896683-OAG,799.95,USD
011644896683-AE,799.95,USD
081492393405-AE,17.95,USD
081492393405-OAG,17.95,USD
081492393405-AE,17.95,USD
791769563645-AE,99.9,USD
791769563645-OAG,99.9,USD
791769563645-AE,99.9,USD
759754389045-AE,13.99,USD
759754389045-OAG,13.99,USD
759754389045-AE,13.99,USD
941420214670-AE,5.49,USD
941420214670-OAG,5.49,USD
941420214670-AE,5.49,USD
072782711092-AE,4.65,USD
072782711092-OAG,4.65,USD
072782711092-AE,4.65,USD
016853063079-AE,184.5,USD
016853063079-OAG,184.5,USD
016853063079-AE,184.5,USD
885782998307-AE,14.99,USD
885782998307-OAG,14.99,USD
885782998307-AE,14.99,USD
746591810498-AE,99.99,USD
746591810498-OAG,99.99,USD
746591810498-AE,99.99,USD
661588030416-AE,74.92,USD
661588030416-OAG,74.92,USD
661588030416-AE,74.92,USD
723896002476-AE,7.32,USD
723896002476-OAG,7.32,USD
723896002476-AE,7.32,USD
711176968178-AE,6.9,USD
711176968178-OAG,6.9,USD
711176968178-AE,6.9,USD
091037944962-AE,36.99,USD
091037944962-OAG,36.99,USD
091037944962-AE,36.99,USD
817624011493-AE,97.99,USD
817624011493-OAG,97.99,USD
817624011493-AE,97.99,USD
077326833735-AE,10.98,USD
077326833735-OAG,10.98,USD
077326833735-AE,10.98,USD
071249356425-AE,14.99,USD
071249356425-OAG,14.99,USD
071249356425-AE,14.99,USD
735282108617-AE,5.95,USD
735282108617-OAG,5.95,USD
